canonical_name,coverage_ctrl,mean_called,mean_tp_called,mean_fp_called,mean_precision,mean_recall,mean_f1
flatearth_peak_broad,0.5,16.22222222222222,15.777777777777779,0.4444444444444444,0.9622514830848163,0.5555555555555556,0.6317989510863843
flatearth_peak_broad,1.0,28.444444444444443,26.916666666666668,1.5277777777777777,0.9465818660475281,0.9305555555555556,0.9375666817966598
flatearth_peak_broad,2.0,30.47222222222222,27.88888888888889,2.5833333333333335,0.9167993190804484,0.9629629629629629,0.9387303139534404
flatearth_peak_broad,4.0,33.80555555555556,28.36111111111111,5.444444444444445,0.8423477258533872,0.9787037037037037,0.9043834167590943
flatearth_peak_broad,8.0,36.27777777777778,28.555555555555557,7.722222222222222,0.7927214409350377,0.9851851851851853,0.8766576486444055
flatearth_peak_broad,12.0,36.916666666666664,28.583333333333332,8.333333333333334,0.782614351897525,0.9861111111111112,0.8700003913232426
flatearth_peak_broad,16.0,36.916666666666664,28.583333333333332,8.333333333333334,0.782614351897525,0.9861111111111112,0.8700003913232426
flatearth_peak_broad,24.0,36.916666666666664,28.583333333333332,8.333333333333334,0.782614351897525,0.9861111111111112,0.8700003913232426
flatearth_plateau_broad,0.5,13.527777777777779,13.277777777777779,0.25,0.6295218191769916,0.46111111111111114,0.48379730962123596
flatearth_plateau_broad,1.0,23.61111111111111,21.22222222222222,2.388888888888889,0.8867390370179542,0.7379629629629629,0.7889616149738504
flatearth_plateau_broad,2.0,29.77777777777778,27.194444444444443,2.5833333333333335,0.916085567233886,0.9416666666666667,0.9271359059771481
flatearth_plateau_broad,4.0,33.888888888888886,28.22222222222222,5.666666666666667,0.8363961109087237,0.9787037037037037,0.900762153546787
flatearth_plateau_broad,8.0,36.611111111111114,28.22222222222222,8.38888888888889,0.7769526079270465,0.9796296296296296,0.8642764701561731
flatearth_plateau_broad,12.0,37.02777777777778,28.25,8.777777777777779,0.7703409831484341,0.9805555555555555,0.8600963603397398
flatearth_plateau_broad,16.0,37.02777777777778,28.25,8.777777777777779,0.7703409831484341,0.9805555555555555,0.8600963603397398
