run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0021,32,30,30,30,0.9375,1.0,0.967741935483871,0021_con,0021_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,10,0,5,5,1500
0022,32,30,30,30,0.9375,1.0,0.967741935483871,0022_con,0022_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,10,0,5,5,2500
0023,113,30,30,30,0.26548672566371684,1.0,0.41958041958041964,0023_con,0023_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,10,0,5,5,1500
0024,99,30,30,30,0.30303030303030304,1.0,0.4651162790697675,0024_con,0024_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,10,0,5,5,2500
0025,214,30,30,30,0.14018691588785046,1.0,0.2459016393442623,0025_con,0025_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,10,0,5,5,1500
0026,149,30,30,30,0.20134228187919462,1.0,0.33519553072625696,0026_con,0026_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,10,0,5,5,2500
0027,214,30,30,30,0.14018691588785046,1.0,0.2459016393442623,0027_con,0027_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,10,0,5,5,1500
0028,149,30,30,30,0.20134228187919462,1.0,0.33519553072625696,0028_con,0028_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,10,0,5,5,2500
0029,214,30,30,30,0.14018691588785046,1.0,0.2459016393442623,0029_con,0029_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,10,0,5,5,1500
0030,149,30,30,30,0.20134228187919462,1.0,0.33519553072625696,0030_con,0030_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,10,0,5,5,2500
0031,214,30,30,30,0.14018691588785046,1.0,0.2459016393442623,0031_con,0031_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,10,0,5,5,1500
0032,149,30,30,30,0.20134228187919462,1.0,0.33519553072625696,0032_con,0032_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,10,0,5,5,2500
0033,21,30,20,20,0.9523809523809523,0.6666666666666666,0.7843137254901961,0033_con,0033_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,20,0,5,5,1500
0034,30,30,30,30,1.0,1.0,1.0,0034_con,0034_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,0.5,20,0,5,5,2500
0035,30,30,30,30,1.0,1.0,1.0,0035_con,0035_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,20,0,5,5,1500
0036,30,30,30,30,1.0,1.0,1.0,0036_con,0036_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,1.0,20,0,5,5,2500
0037,32,30,30,30,0.9375,1.0,0.967741935483871,0037_con,0037_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,20,0,5,5,1500
0038,31,30,30,30,0.967741935483871,1.0,0.9836065573770492,0038_con,0038_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,2.0,20,0,5,5,2500
0039,71,30,30,30,0.4225352112676056,1.0,0.5940594059405941,0039_con,0039_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,20,0,5,5,1500
0040,56,30,30,30,0.5357142857142857,1.0,0.6976744186046512,0040_con,0040_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,4.0,20,0,5,5,2500
0041,176,30,30,30,0.17045454545454544,1.0,0.2912621359223301,0041_con,0041_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,20,0,5,5,1500
0042,155,30,30,30,0.1935483870967742,1.0,0.3243243243243243,0042_con,0042_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,8.0,20,0,5,5,2500
0043,219,30,30,30,0.136986301369863,1.0,0.24096385542168672,0043_con,0043_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,20,0,5,5,1500
0044,208,30,30,30,0.14423076923076922,1.0,0.25210084033613445,0044_con,0044_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,12.0,20,0,5,5,2500
0045,219,30,30,30,0.136986301369863,1.0,0.24096385542168672,0045_con,0045_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,20,0,5,5,1500
0046,208,30,30,30,0.14423076923076922,1.0,0.25210084033613445,0046_con,0046_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,16.0,20,0,5,5,2500
0047,219,30,30,30,0.136986301369863,1.0,0.24096385542168672,0047_con,0047_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,20,0,5,5,1500
0048,208,30,30,30,0.14423076923076922,1.0,0.25210084033613445,0048_con,0048_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,11,11,11,0.6,0.5,0,1.5,10,1.0,True,24.0,20,0,5,5,2500
0049,17,30,15,16,0.8823529411764706,0.5333333333333333,0.664819944598338,0049_con,0049_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,5,1500
0050,28,30,26,27,0.9285714285714286,0.9,0.9140625,0050_con,0050_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,0.5,5,0,5,5,2500
0051,30,30,26,27,0.8666666666666667,0.9,0.8830188679245283,0051_con,0051_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,5,1500
0052,30,30,28,29,0.9333333333333333,0.9666666666666667,0.9497076023391814,0052_con,0052_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,1.0,5,0,5,5,2500
0053,54,30,28,29,0.5185185185185185,0.9666666666666667,0.6749792186201163,0053_con,0053_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,2.0,5,0,5,5,1500
0054,50,30,29,30,0.58,1.0,0.7341772151898733,0054_con,0054_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,2.0,5,0,5,5,2500
0055,135,30,29,30,0.21481481481481482,1.0,0.3536585365853659,0055_con,0055_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,4.0,5,0,5,5,1500
0056,130,30,29,30,0.2230769230769231,1.0,0.36477987421383645,0056_con,0056_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,narrow,1.0,23,23,23,0.6,0.5,0,1.5,10,1.0,True,4.0,5,0,5,5,2500
