run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0236,40,30,29,30,0.725,1.0,0.8405797101449275,0236_con,0236_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.0,0.0,0,1.5,10,1.0,True,12.0,20,0,5,20,2500
0237,40,30,29,30,0.725,1.0,0.8405797101449275,0237_con,0237_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.0,0.0,0,1.5,10,1.0,True,16.0,20,0,5,20,1000
0238,40,30,29,30,0.725,1.0,0.8405797101449275,0238_con,0238_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.0,0.0,0,1.5,10,1.0,True,16.0,20,0,5,20,2500
0239,40,30,29,30,0.725,1.0,0.8405797101449275,0239_con,0239_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.0,0.0,0,1.5,10,1.0,True,24.0,20,0,5,20,1000
0240,40,30,29,30,0.725,1.0,0.8405797101449275,0240_con,0240_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.0,0.0,0,1.5,10,1.0,True,24.0,20,0,5,20,2500
0241,0,30,0,0,0.0,0.0,0.0,0241_con,0241_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,89,89,89,0.0,0.0,0,1.5,10,1.0,True,0.5,5,0,5,20,1000
0242,28,30,28,29,1.0,0.9666666666666667,0.983050847457627,0242_con,0242_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,89,89,89,0.0,0.0,0,1.5,10,1.0,True,0.5,5,0,5,20,2500
0243,18,30,15,15,0.8333333333333334,0.5,0.625,0243_con,0243_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,89,89,89,0.0,0.0,0,1.5,10,1.0,True,1.0,5,0,5,20,1000
0244,29,30,28,29,0.9655172413793104,0.9666666666666667,0.9660916121356335,0244_con,0244_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,89,89,89,0.0,0.0,0,1.5,10,1.0,True,1.0,5,0,5,20,2500
0245,30,30,27,27,0.9,0.9,0.9,0245_con,0245_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,89,89,89,0.0,0.0,0,1.5,10,1.0,True,2.0,5,0,5,20,1000
