run_id,total_called,total_planted,tp_called,tp_planted,precision,recall,f1,id_ctrl,id_treat,genome,acc_key,gc_key,fragment_length,read_length,nb_k,aligner,peakcaller,macs2_mode,tf_exp,seed,tf_seed,map_seed,gc_exp,acc_exp,map_coverage_pct,map_sigma,map_enrich,map_exp,use_control,coverage_ctrl,coverage_treat,tf_peak_count_ctrl,tf_peak_count_treat,tf_sigma,tf_enrich
0190,126,30,30,30,0.23809523809523808,1.0,0.3846153846153846,0190_con,0190_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,53,53,53,0.6,0.5,3,1.5,10,1.0,True,16.0,20,0,5,20,2500
0191,167,30,30,30,0.17964071856287425,1.0,0.3045685279187817,0191_con,0191_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,53,53,53,0.6,0.5,3,1.5,10,1.0,True,24.0,20,0,5,20,1000
0192,126,30,30,30,0.23809523809523808,1.0,0.3846153846153846,0192_con,0192_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,53,53,53,0.6,0.5,3,1.5,10,1.0,True,24.0,20,0,5,20,2500
0193,2,30,2,2,1.0,0.06666666666666667,0.125,0193_con,0193_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,0.5,5,0,5,20,1000
0194,25,30,22,23,0.88,0.7666666666666667,0.8194331983805668,0194_con,0194_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,0.5,5,0,5,20,2500
0195,19,30,12,12,0.631578947368421,0.4,0.4897959183673469,0195_con,0195_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,1.0,5,0,5,20,1000
0196,29,30,27,28,0.9310344827586207,0.9333333333333333,0.9321824907521578,0196_con,0196_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,1.0,5,0,5,20,2500
0197,31,30,20,20,0.6451612903225806,0.6666666666666666,0.6557377049180327,0197_con,0197_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,2.0,5,0,5,20,1000
0198,37,30,27,28,0.7297297297297297,0.9333333333333333,0.8190682556879741,0198_con,0198_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,2.0,5,0,5,20,2500
0199,57,30,22,23,0.38596491228070173,0.7666666666666667,0.5134449518011162,0199_con,0199_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,4.0,5,0,5,20,1000
0200,56,30,28,29,0.5,0.9666666666666667,0.6590909090909091,0200_con,0200_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,4.0,5,0,5,20,2500
0201,57,30,22,23,0.38596491228070173,0.7666666666666667,0.5134449518011162,0201_con,0201_treat,ce11_1pct,bedA,gcA,150,38,1000000,bowtie2,macs2,broad,1.0,71,71,71,0.6,0.5,3,1.5,10,1.0,True,8.0,5,0,5,20,1000
